FACILITY,SampleDate,Time,BuildingCode,SPCODE,LGT,AdClip,Size_Run,DNA_Run,CWT_Run,CATCH,Salvage,LOSS
2,12/5/2024,10:00,F,1,170,C,F,,LF,1,4,2.6
2,12/5/2024,12:00,F,1,131,C,LF,,LF,1,4,2.6
2,12/5/2024,12:00,F,1,133,C,LF,,LF,1,4,2.6
2,12/5/2024,12:00,F,1,134,C,LF,,LF,1,4,2.6
2,12/5/2024,12:00,F,1,142,C,LF,,LF,1,4,2.6
2,12/5/2024,12:00,F,1,149,C,LF,,LF,1,4,2.6
2,12/5/2024,14:00,F,1,146,C,LF,,LF,1,4,2.6
2,12/5/2024,14:00,F,1,156,C,LF,,LF,1,4,2.6
2,12/5/2024,14:00,F,1,158,C,LF,,LF,1,4,2.6
2,12/5/2024,14:00,F,1,172,C,F,,LF,1,4,2.6
2,12/5/2024,14:00,F,1,186,C,F,,LF,1,4,2.6
2,12/5/2024,18:00,F,1,121,C,W,,LF,1,4,2.6
2,12/5/2024,18:00,F,1,136,N,LF,LF,,1,4,2.6
2,12/5/2024,18:00,F,1,142,C,LF,,LF,1,4,2.6
2,12/5/2024,18:00,F,1,143,C,LF,,LF,1,4,2.6
2,12/5/2024,18:00,F,1,145,C,LF,,LF,1,4,2.6
2,12/5/2024,18:00,F,1,164,C,LF,,LF,1,4,2.6
2,12/5/2024,18:00,F,1,167,C,LF,,LF,1,4,2.6
2,12/5/2024,18:00,F,1,171,C,F,,LF,1,4,2.6
2,12/5/2024,18:00,F,1,179,C,F,,LF,1,4,2.6
2,12/5/2024,20:00,F,1,142,C,LF,,LF,1,4,2.6
2,12/5/2024,20:00,F,1,145,C,LF,,LF,1,4,2.6
2,12/5/2024,20:00,F,1,145,C,LF,,LF,1,4,2.6
2,12/5/2024,20:00,F,1,175,C,F,,LF,1,4,2.6
2,12/5/2024,22:00,F,1,136,C,LF,,LF,1,4,2.6
2,12/5/2024,22:00,F,1,137,C,LF,,LF,1,4,2.6
2,12/5/2024,22:00,F,1,143,C,LF,,LF,1,4,2.6
2,12/5/2024,22:00,F,1,145,N,LF,LF,,1,4,2.6
2,12/5/2024,22:00,F,1,148,C,LF,,LF,1,4,2.6
2,12/5/2024,22:00,F,1,154,C,LF,,LF,1,4,2.6
2,12/5/2024,22:00,F,1,158,C,LF,,LF,1,4,2.6
2,12/5/2024,22:00,F,1,159,C,LF,,LF,1,4,2.6
2,12/5/2024,22:00,F,1,178,C,F,,LF,1,4,2.6
2,12/5/2024,22:00,F,1,183,C,F,,LF,1,4,2.6
2,12/5/2024,23:59,F,1,107,C,W,,LF,1,4,2.6
2,12/5/2024,23:59,F,1,144,C,LF,,LF,1,4,2.6
2,12/5/2024,23:59,F,1,146,C,LF,,LF,1,4,2.6
2,12/5/2024,23:59,F,1,149,N,LF,LF,,1,4,2.6
2,12/5/2024,23:59,F,1,154,C,LF,,LF,1,4,2.6
2,12/5/2024,23:59,F,1,156,C,LF,,,1,4,2.6
2,12/5/2024,23:59,F,1,173,C,F,,LF,1,4,2.6
2,12/5/2024,23:59,F,1,177,N,F,LF,,1,4,2.6
2,12/6/2024,2:00,F,1,128,C,LF,,LF,1,4,2.6
2,12/6/2024,2:00,F,1,147,C,LF,,LF,1,4,2.6
2,12/6/2024,4:00,F,1,146,C,LF,,LF,1,4,2.6
2,12/6/2024,4:00,F,1,160,C,LF,,LF,1,4,2.6
2,12/6/2024,4:00,F,1,178,C,F,,LF,1,4,2.6
2,12/6/2024,6:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/6/2024,6:00,F,1,167,C,LF,,LF,1,4,2.6
2,12/6/2024,6:00,F,1,168,C,LF,,LF,1,4,2.6
2,12/6/2024,8:00,F,1,137,C,LF,,LF,1,4,2.6
1,12/6/2024,9:00,NS,1,175,C,F,,LF,1,4,16.9
2,12/6/2024,10:00,F,1,162,C,LF,,LF,1,4,2.6
2,12/6/2024,12:00,F,1,135,C,LF,,LF,1,4,2.6
2,12/6/2024,12:00,F,1,145,C,LF,,LF,1,4,2.6
2,12/6/2024,12:00,F,1,146,C,LF,,LF,1,4,2.6
2,12/6/2024,12:00,F,1,170,C,F,,LF,1,4,2.6
2,12/6/2024,12:00,F,1,180,C,F,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,127,C,LF,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,127,C,LF,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,130,C,LF,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,146,C,LF,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,150,C,LF,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,158,C,LF,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,161,C,LF,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,165,C,LF,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,165,C,LF,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,171,C,F,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,179,C,F,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,182,C,F,,LF,1,4,2.6
2,12/6/2024,14:00,F,1,184,C,F,,LF,1,4,2.6
2,12/6/2024,18:00,F,1,146,C,LF,,LF,1,4,2.6
2,12/6/2024,18:00,F,1,152,C,LF,,LF,1,4,2.6
2,12/6/2024,18:00,F,1,152,C,LF,,LF,1,4,2.6
2,12/6/2024,18:00,F,1,166,C,LF,,,1,4,2.6
2,12/6/2024,18:00,F,1,170,C,F,,LF,1,4,2.6
2,12/6/2024,18:00,F,1,189,C,F,,LF,1,4,2.6
2,12/6/2024,20:00,F,1,135,C,LF,,LF,1,4,2.6
2,12/6/2024,20:00,F,1,137,C,LF,,LF,1,4,2.6
2,12/6/2024,20:00,F,1,141,C,LF,,LF,1,4,2.6
2,12/6/2024,20:00,F,1,143,C,LF,,LF,1,4,2.6
2,12/6/2024,20:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/6/2024,20:00,F,1,160,C,LF,,LF,1,4,2.6
2,12/6/2024,20:00,F,1,173,C,F,,LF,1,4,2.6
2,12/6/2024,20:00,F,1,175,C,F,,LF,1,4,2.6
2,12/6/2024,22:00,F,1,113,C,W,,LF,1,4,2.6
2,12/6/2024,22:00,F,1,133,C,LF,,LF,1,4,2.6
2,12/6/2024,22:00,F,1,147,C,LF,,LF,1,4,2.6
2,12/6/2024,22:00,F,1,151,C,LF,,LF,1,4,2.6
2,12/6/2024,22:00,F,1,173,C,F,,LF,1,4,2.6
2,12/6/2024,22:00,F,1,176,C,F,,LF,1,4,2.6
2,12/6/2024,23:59,F,1,142,C,LF,,,1,4,2.6
2,12/6/2024,23:59,F,1,147,C,LF,,LF,1,4,2.6
2,12/6/2024,23:59,F,1,167,C,LF,,LF,1,4,2.6
2,12/6/2024,23:59,F,1,168,C,LF,,LF,1,4,2.6
2,12/7/2024,2:00,F,1,106,C,W,,LF,1,4,2.6
2,12/7/2024,2:00,F,1,132,C,LF,,LF,1,4,2.6
2,12/7/2024,2:00,F,1,139,C,LF,,LF,1,4,2.6
2,12/7/2024,2:00,F,1,141,C,LF,,LF,1,4,2.6
2,12/7/2024,2:00,F,1,142,C,LF,,LF,1,4,2.6
2,12/7/2024,2:00,F,1,147,C,LF,,LF,1,4,2.6
2,12/7/2024,2:00,F,1,170,C,LF,,LF,1,4,2.6
2,12/7/2024,4:00,F,1,188,C,F,,LF,1,4,2.6
2,12/7/2024,12:00,F,1,135,C,LF,,LF,1,4,2.6
2,12/7/2024,12:00,F,1,152,C,LF,,LF,1,4,2.6
2,12/7/2024,14:00,F,1,115,C,W,,LF,1,4,2.6
2,12/7/2024,14:00,F,1,117,C,W,,LF,1,4,2.6
2,12/7/2024,14:00,F,1,123,N,W,F,,1,4,2.6
2,12/7/2024,14:00,F,1,130,C,LF,,LF,1,4,2.6
2,12/7/2024,14:00,F,1,150,C,LF,,LF,1,4,2.6
2,12/7/2024,16:00,F,1,134,C,LF,,LF,1,4,2.6
2,12/7/2024,16:00,F,1,137,C,LF,,LF,1,4,2.6
2,12/7/2024,16:00,F,1,139,C,LF,,LF,1,4,2.6
2,12/7/2024,16:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/7/2024,16:00,F,1,167,C,LF,,LF,1,4,2.6
2,12/7/2024,18:00,F,1,145,C,LF,,LF,1,4,2.6
2,12/7/2024,18:00,F,1,158,C,LF,,LF,1,4,2.6
2,12/7/2024,18:00,F,1,164,C,LF,,LF,1,4,2.6
2,12/7/2024,20:00,F,1,110,C,W,,LF,1,4,2.6
2,12/7/2024,20:00,F,1,141,C,LF,,LF,1,4,2.6
2,12/7/2024,20:00,F,1,153,C,LF,,LF,1,4,2.6
2,12/7/2024,22:00,F,1,134,C,LF,,LF,1,4,2.6
2,12/7/2024,22:00,F,1,135,C,LF,,LF,1,4,2.6
2,12/7/2024,22:00,F,1,147,C,LF,,LF,1,4,2.6
2,12/7/2024,23:59,F,1,135,C,LF,,LF,1,4,2.6
2,12/7/2024,23:59,F,1,140,C,LF,,LF,1,4,2.6
2,12/7/2024,23:59,F,1,145,C,LF,,LF,1,4,2.6
2,12/7/2024,23:59,F,1,148,C,LF,,LF,1,4,2.6
2,12/7/2024,23:59,F,1,150,C,LF,,LF,1,4,2.6
2,12/7/2024,23:59,F,1,158,C,LF,,LF,1,4,2.6
2,12/7/2024,23:59,F,1,168,C,LF,,LF,1,4,2.6
2,12/7/2024,23:59,F,1,173,C,F,,LF,1,4,2.6
2,12/7/2024,23:59,F,1,181,C,F,,LF,1,4,2.6
2,12/8/2024,2:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/8/2024,2:00,F,1,167,C,LF,,LF,1,4,2.6
2,12/8/2024,2:00,F,1,176,C,F,,LF,1,4,2.6
2,12/8/2024,8:00,F,1,141,C,LF,,LF,1,4,2.6
2,12/8/2024,10:00,F,1,150,C,LF,,LF,1,4,2.6
2,12/8/2024,12:00,F,1,132,C,LF,,LF,1,4,2.6
2,12/8/2024,14:00,F,1,138,C,LF,,LF,1,4,2.6
2,12/8/2024,14:00,F,1,165,C,LF,,LF,1,4,2.6
2,12/8/2024,16:00,F,1,132,C,LF,,LF,1,4,2.6
2,12/8/2024,16:00,F,1,150,C,LF,,LF,1,4,2.6
2,12/8/2024,16:00,F,1,161,C,LF,,LF,1,4,2.6
2,12/8/2024,20:00,F,1,174,C,F,,LF,1,4,2.6
2,12/8/2024,23:59,F,1,125,C,W,,LF,1,4,2.6
2,12/8/2024,23:59,F,1,133,C,LF,,LF,1,4,2.6
2,12/8/2024,23:59,F,1,138,C,LF,,LF,1,4,2.6
2,12/8/2024,23:59,F,1,139,C,LF,,LF,1,4,2.6
2,12/8/2024,23:59,F,1,143,C,LF,,LF,1,4,2.6
2,12/8/2024,23:59,F,1,164,C,LF,,LF,1,4,2.6
2,12/9/2024,2:00,F,1,139,C,LF,,LF,1,4,2.6
2,12/9/2024,2:00,F,1,153,C,LF,,LF,1,4,2.6
2,12/9/2024,6:00,F,1,138,C,LF,,LF,1,4,2.6
1,12/9/2024,9:00,NS,1,146,C,LF,,LF,1,4,17
1,12/9/2024,13:00,OS,1,154,C,LF,,LF,1,4,17.21
2,12/9/2024,14:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/9/2024,18:00,F,1,129,C,LF,,LF,1,4,2.6
2,12/9/2024,22:00,F,1,160,C,LF,,LF,1,4,2.6
2,12/9/2024,22:00,F,1,175,C,F,,LF,1,4,2.6
2,12/9/2024,23:59,F,1,115,C,W,,LF,1,4,2.6
2,12/9/2024,23:59,F,1,131,C,LF,,LF,1,4,2.6
2,12/9/2024,23:59,F,1,180,C,F,,LF,1,4,2.6
